core.externalId,core.Reference,core.assignable,core.name
REF_HANA_SLT_PRD_FI_DS/BSID,True,True,BSID
REF_HANA_SLT_PRD_FI_DS/KNA1,True,True,KNA1
REF_HANA_SLT_PRD_MM_DS/MARD,True,True,MARD
REF_HANA_SLT_PRD_MM_DS/MARA,True,True,MARA
REF_HANA_SLT_PRD_MM_DS/MAKT,True,True,MAKT
REF_HANA_SLT_PRD_MM_DS/T001W,True,True,T001W
REF_HANA_SLT_PRD_MM_DS/MBEW,True,True,MBEW
REF_HANA_SLT_PRD_SD_DS/VBAK,True,True,VBAK
REF_HANA_SLT_PRD_SD_DS/VBAP,True,True,VBAP
REF_HANA_SLT_PRD_SD_DS/KNA1,True,True,KNA1
REF_HANA_SLT_PRD_BAP_DS/BSEG,True,True,BSEG
REF_HANA_SLT_PRD_BAP_DS/FAGLFLEXA,True,True,FAGLFLEXA
REF_HANA_SLT_PRD_BAP_DS/T012K,True,True,T012K
REF_HANA_SLT_PRD_BAP_DS/BKPF,True,True,BKPF
REF_HANA_SLT_PRD_BAP_DS/FEBCL,True,True,FEBCL
REF_HANA__SYS_BIC_DS/sc-dm-dev.Time_Intelligence/DIM_VEND,True,True,sc-dm-dev.Time_Intelligence/DIM_VEND
REF_HANA__SYS_BIC_DS/sc-dm-dev.Time_Intelligence/DIM_CUST,True,True,sc-dm-dev.Time_Intelligence/DIM_CUST
