core.externalId,core.name,core.description,core.businessDescription,core.businessName,core.reference
Sample_Sales_Report_78752638/ReportSection1,Sales Overview,Sales Overview,Sales Overview,Sales Overview,
Sample_Sales_Report_78752638/ReportSection2,Customer Detail,Customer Detail,Customer Detail,Customer Detail,
Simpfy_project_96010eb4/605491f5f08a57683ed5,Executive Summary,Executive Summary,Executive Summary,Executive Summary,
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3,Key Challenges,Key Challenges,Key Challenges,Key Challenges,
Simpfy_project_96010eb4/b51059fb8d292d8e5770,Segment View,Segment View,Segment View,Segment View,
Simpfy_project_96010eb4/43886f5e900cdf121ca3,Project Report Tab,Project Report Tab,Project Report Tab,Project Report Tab,
Simpfy_project_96010eb4/c13e75df0817a0ed0006,Project Passport ,Project Passport ,Project Passport ,Project Passport ,
Simpfy_project_96010eb4/2ac534c003f39a90e06e,Milestone detailed data,Milestone detailed data,Milestone detailed data,Milestone detailed data,
Simpfy_project_96010eb4/01d9cca66f27e88aa53d,Challenges detailed table,Challenges detailed table,Challenges detailed table,Challenges detailed table,
Simpfy_project_96010eb4/ec530b8bd9b5762a229a,Projects detailed table,Projects detailed table,Projects detailed table,Projects detailed table,
Simpfy_project_96010eb4/8f4d4820c9be15135b63,Quarterly comment,Quarterly comment,Quarterly comment,Quarterly comment,
Simpfy_project_96010eb4/5e507922b18dc16775e9,Quarterly comment data,Quarterly comment data,Quarterly comment data,Quarterly comment data,
Simpfy_project_96010eb4/bdcee2ac9dd11d6bdb5b,Pillars tooltip,Pillars tooltip,Pillars tooltip,Pillars tooltip,
Simpfy_project_96010eb4/746293ed7f31de4c607b,Enablers tooltip,Enablers tooltip,Enablers tooltip,Enablers tooltip,
Simpfy_project_96010eb4/7f75fdca224c240675df,Corporate Initiative tooltip,Corporate Initiative tooltip,Corporate Initiative tooltip,Corporate Initiative tooltip,
Simpfy_project_96010eb4/fafcd644b1849220d5c2,Segment Initiative tooltip,Segment Initiative tooltip,Segment Initiative tooltip,Segment Initiative tooltip,
Simpfy_project_96010eb4/14942fbc99bc3afa2399,Project Passport,Project Passport,Project Passport,Project Passport,
Simpfy_project_96010eb4/1349087adb881e20f030,Project Countries,Project Countries,Project Countries,Project Countries,
Simpfy_project_96010eb4/91406038d6de251decec,Corporate Startegy,Corporate Startegy,Corporate Startegy,Corporate Startegy,
Simpfy_project_96010eb4/6929f53de6931bff5e33,Key Challenges filtered,Key Challenges filtered,Key Challenges filtered,Key Challenges filtered,
Simpfy_project_96010eb4/26e9916ec1b8d2294cee,Segment initiative data,Segment initiative data,Segment initiative data,Segment initiative data,
Simpfy_project_96010eb4/559834161b2ed9207434,Milestones,Milestones,Milestones,Milestones,
Simpfy_project_96010eb4/ef7f5dfd961cb25b6000,KKPIs data,KKPIs data,KKPIs data,KKPIs data,
Simpfy_project_96010eb4/d477111cd0a27a3c36c7,Duplicate of Milestone detailed data,Duplicate of Milestone detailed data,Duplicate of Milestone detailed data,Duplicate of Milestone detailed data,
Simpfy_project_96010eb4/fda7334c1caf8671eaec,Economic and Energy Insights ,Economic and Energy Insights ,Economic and Energy Insights ,Economic and Energy Insights ,
Simpfy_project_96010eb4/a923b0a203ae3c7caca4,Projects detailed table ,Projects detailed table ,Projects detailed table ,Projects detailed table ,
Simpfy_project_96010eb4/beef0fdda40043206804,Challenges detailed table ,Challenges detailed table ,Challenges detailed table ,Challenges detailed table ,
Simpfy_project_96010eb4/7134b50a2d7c3644c43c,Segment initiative data ,Segment initiative data ,Segment initiative data ,Segment initiative data ,
