Source,Target,Association
$resource,s3___lakehouse,core.ResourceParentChild
$resource,s3___lh_downstream,core.ResourceParentChild
$resource,s3a___ret_30,core.ResourceParentChild
$resource,gethaortagsraw,core.ResourceParentChild
gethaortagsraw,gethaortagsraw/socar_lakehouse,com.infa.odin.models.relational.DatabaseToSchema
gethaortagsraw/socar_lakehouse,gethaortagsraw/socar_lakehouse/gethaortagsraw.append_data.lakehouse_lh_dwst_stg_tag_values_haor,com.infa.odin.models.relational.SchemaToTask
gethaortagsraw/socar_lakehouse,gethaortagsraw/socar_lakehouse/gethaortagsraw.atomic_replace_table_as_select.lh_dwst_stg_tag_values_haor,com.infa.odin.models.relational.SchemaToTask
gethaortagsraw/socar_lakehouse/gethaortagsraw.append_data.lakehouse_lh_dwst_stg_tag_values_haor,gethaortagsraw/socar_lakehouse/gethaortagsraw.append_data.lakehouse_lh_dwst_stg_tag_values_haor/SQL_JOB,com.infa.odin.models.relational.TaskToStatement
gethaortagsraw/socar_lakehouse/gethaortagsraw.atomic_replace_table_as_select.lh_dwst_stg_tag_values_haor,gethaortagsraw/socar_lakehouse/gethaortagsraw.atomic_replace_table_as_select.lh_dwst_stg_tag_values_haor/SQL_JOB,com.infa.odin.models.relational.TaskToStatement
gethaortagsraw/socar_lakehouse/gethaortagsraw.append_data.lakehouse_lh_dwst_stg_tag_values_haor/SQL_JOB,gethaortagsraw/socar_lakehouse/gethaortagsraw.append_data.lakehouse_lh_dwst_stg_tag_values_haor/SQL_JOB/confidence,com.infa.odin.models.relational.StatementToCalculation
gethaortagsraw/socar_lakehouse/gethaortagsraw.append_data.lakehouse_lh_dwst_stg_tag_values_haor/SQL_JOB,gethaortagsraw/socar_lakehouse/gethaortagsraw.append_data.lakehouse_lh_dwst_stg_tag_values_haor/SQL_JOB/hash_field,com.infa.odin.models.relational.StatementToCalculation
gethaortagsraw/socar_lakehouse/gethaortagsraw.append_data.lakehouse_lh_dwst_stg_tag_values_haor/SQL_JOB,gethaortagsraw/socar_lakehouse/gethaortagsraw.append_data.lakehouse_lh_dwst_stg_tag_values_haor/SQL_JOB/sampledatetime,com.infa.odin.models.relational.StatementToCalculation
gethaortagsraw/socar_lakehouse/gethaortagsraw.append_data.lakehouse_lh_dwst_stg_tag_values_haor/SQL_JOB,gethaortagsraw/socar_lakehouse/gethaortagsraw.append_data.lakehouse_lh_dwst_stg_tag_values_haor/SQL_JOB/tagName,com.infa.odin.models.relational.StatementToCalculation
gethaortagsraw/socar_lakehouse/gethaortagsraw.append_data.lakehouse_lh_dwst_stg_tag_values_haor/SQL_JOB,gethaortagsraw/socar_lakehouse/gethaortagsraw.append_data.lakehouse_lh_dwst_stg_tag_values_haor/SQL_JOB/value,com.infa.odin.models.relational.StatementToCalculation
s3___lakehouse,s3___lakehouse.lh_dwst_stg,core.ResourceParentChild
s3___lh_downstream,s3___lh_downstream.stg,core.ResourceParentChild
s3a___ret_30,s3a___ret_30./lh_dwst_stg,core.ResourceParentChild
s3___lakehouse.lh_dwst_stg,s3___lakehouse.lh_dwst_stg/tag_values_haor,core.DataSourceParentChild
s3___lh_downstream.stg,s3___lh_downstream.stg/tag_values_haor,core.DataSourceParentChild
s3a___ret_30./lh_dwst_stg,s3a___ret_30./lh_dwst_stg/unp_haor_jsons,core.DataSourceParentChild
s3___lakehouse.lh_dwst_stg/tag_values_haor,s3___lakehouse.lh_dwst_stg/tag_values_haor/confidence,core.DataSetToDataElementParentship
s3___lakehouse.lh_dwst_stg/tag_values_haor,s3___lakehouse.lh_dwst_stg/tag_values_haor/hash_field,core.DataSetToDataElementParentship
s3___lakehouse.lh_dwst_stg/tag_values_haor,s3___lakehouse.lh_dwst_stg/tag_values_haor/hostName,core.DataSetToDataElementParentship
s3___lakehouse.lh_dwst_stg/tag_values_haor,s3___lakehouse.lh_dwst_stg/tag_values_haor/plant_api,core.DataSetToDataElementParentship
s3___lakehouse.lh_dwst_stg/tag_values_haor,s3___lakehouse.lh_dwst_stg/tag_values_haor/sampledatetime,core.DataSetToDataElementParentship
s3___lakehouse.lh_dwst_stg/tag_values_haor,s3___lakehouse.lh_dwst_stg/tag_values_haor/tagName,core.DataSetToDataElementParentship
s3___lakehouse.lh_dwst_stg/tag_values_haor,s3___lakehouse.lh_dwst_stg/tag_values_haor/value,core.DataSetToDataElementParentship
s3___lh_downstream.stg/tag_values_haor,s3___lh_downstream.stg/tag_values_haor/confidence,core.DataSetToDataElementParentship
s3___lh_downstream.stg/tag_values_haor,s3___lh_downstream.stg/tag_values_haor/hash_field,core.DataSetToDataElementParentship
s3___lh_downstream.stg/tag_values_haor,s3___lh_downstream.stg/tag_values_haor/hostName,core.DataSetToDataElementParentship
s3___lh_downstream.stg/tag_values_haor,s3___lh_downstream.stg/tag_values_haor/plant_api,core.DataSetToDataElementParentship
s3___lh_downstream.stg/tag_values_haor,s3___lh_downstream.stg/tag_values_haor/sampledatetime,core.DataSetToDataElementParentship
s3___lh_downstream.stg/tag_values_haor,s3___lh_downstream.stg/tag_values_haor/tagName,core.DataSetToDataElementParentship
s3___lh_downstream.stg/tag_values_haor,s3___lh_downstream.stg/tag_values_haor/value,core.DataSetToDataElementParentship
s3a___ret_30./lh_dwst_stg/unp_haor_jsons,s3a___ret_30./lh_dwst_stg/unp_haor_jsons/EndTime,core.DataSetToDataElementParentship
s3a___ret_30./lh_dwst_stg/unp_haor_jsons,s3a___ret_30./lh_dwst_stg/unp_haor_jsons/ReductionType,core.DataSetToDataElementParentship
s3a___ret_30./lh_dwst_stg/unp_haor_jsons,s3a___ret_30./lh_dwst_stg/unp_haor_jsons/SampleType,core.DataSetToDataElementParentship
s3a___ret_30./lh_dwst_stg/unp_haor_jsons,s3a___ret_30./lh_dwst_stg/unp_haor_jsons/StartTime,core.DataSetToDataElementParentship
s3a___ret_30./lh_dwst_stg/unp_haor_jsons,s3a___ret_30./lh_dwst_stg/unp_haor_jsons/_element,core.DataSetToDataElementParentship
s3a___ret_30./lh_dwst_stg/unp_haor_jsons,s3a___ret_30./lh_dwst_stg/unp_haor_jsons/confidence,core.DataSetToDataElementParentship
s3a___ret_30./lh_dwst_stg/unp_haor_jsons,s3a___ret_30./lh_dwst_stg/unp_haor_jsons/reductionFrequency,core.DataSetToDataElementParentship
s3a___ret_30./lh_dwst_stg/unp_haor_jsons,s3a___ret_30./lh_dwst_stg/unp_haor_jsons/reductionOffsetType,core.DataSetToDataElementParentship
s3a___ret_30./lh_dwst_stg/unp_haor_jsons,s3a___ret_30./lh_dwst_stg/unp_haor_jsons/tagName,core.DataSetToDataElementParentship
s3a___ret_30./lh_dwst_stg/unp_haor_jsons,s3a___ret_30./lh_dwst_stg/unp_haor_jsons/timestamp,core.DataSetToDataElementParentship
s3a___ret_30./lh_dwst_stg/unp_haor_jsons,s3a___ret_30./lh_dwst_stg/unp_haor_jsons/value,core.DataSetToDataElementParentship
gethaortagsraw/socar_lakehouse/gethaortagsraw.append_data.lakehouse_lh_dwst_stg_tag_values_haor/SQL_JOB,s3___lakehouse.lh_dwst_stg/tag_values_haor,core.DataSetDataFlow
gethaortagsraw/socar_lakehouse/gethaortagsraw.atomic_replace_table_as_select.lh_dwst_stg_tag_values_haor/SQL_JOB,s3___lh_downstream.stg/tag_values_haor,core.DataSetDataFlow
s3a___ret_30./lh_dwst_stg/unp_haor_jsons,gethaortagsraw/socar_lakehouse/gethaortagsraw.append_data.lakehouse_lh_dwst_stg_tag_values_haor/SQL_JOB,core.DataSetDataFlow
s3a___ret_30./lh_dwst_stg/unp_haor_jsons,gethaortagsraw/socar_lakehouse/gethaortagsraw.atomic_replace_table_as_select.lh_dwst_stg_tag_values_haor/SQL_JOB,core.DataSetDataFlow
gethaortagsraw/socar_lakehouse/gethaortagsraw.append_data.lakehouse_lh_dwst_stg_tag_values_haor/SQL_JOB/confidence,s3___lakehouse.lh_dwst_stg/tag_values_haor/confidence,core.DirectionalDataFlow
gethaortagsraw/socar_lakehouse/gethaortagsraw.append_data.lakehouse_lh_dwst_stg_tag_values_haor/SQL_JOB/hash_field,s3___lakehouse.lh_dwst_stg/tag_values_haor/hash_field,core.DirectionalDataFlow
gethaortagsraw/socar_lakehouse/gethaortagsraw.append_data.lakehouse_lh_dwst_stg_tag_values_haor/SQL_JOB/sampledatetime,s3___lakehouse.lh_dwst_stg/tag_values_haor/sampledatetime,core.DirectionalDataFlow
gethaortagsraw/socar_lakehouse/gethaortagsraw.append_data.lakehouse_lh_dwst_stg_tag_values_haor/SQL_JOB/tagName,s3___lakehouse.lh_dwst_stg/tag_values_haor/tagName,core.DirectionalDataFlow
gethaortagsraw/socar_lakehouse/gethaortagsraw.append_data.lakehouse_lh_dwst_stg_tag_values_haor/SQL_JOB/value,s3___lakehouse.lh_dwst_stg/tag_values_haor/value,core.DirectionalDataFlow
s3a___ret_30./lh_dwst_stg/unp_haor_jsons/confidence,gethaortagsraw/socar_lakehouse/gethaortagsraw.append_data.lakehouse_lh_dwst_stg_tag_values_haor/SQL_JOB/confidence,core.DirectionalDataFlow
s3a___ret_30./lh_dwst_stg/unp_haor_jsons/confidence,gethaortagsraw/socar_lakehouse/gethaortagsraw.append_data.lakehouse_lh_dwst_stg_tag_values_haor/SQL_JOB/hash_field,core.DirectionalDataFlow
s3a___ret_30./lh_dwst_stg/unp_haor_jsons/tagName,gethaortagsraw/socar_lakehouse/gethaortagsraw.append_data.lakehouse_lh_dwst_stg_tag_values_haor/SQL_JOB/hash_field,core.DirectionalDataFlow
s3a___ret_30./lh_dwst_stg/unp_haor_jsons/tagName,gethaortagsraw/socar_lakehouse/gethaortagsraw.append_data.lakehouse_lh_dwst_stg_tag_values_haor/SQL_JOB/tagName,core.DirectionalDataFlow
s3a___ret_30./lh_dwst_stg/unp_haor_jsons/timestamp,gethaortagsraw/socar_lakehouse/gethaortagsraw.append_data.lakehouse_lh_dwst_stg_tag_values_haor/SQL_JOB/hash_field,core.DirectionalDataFlow
s3a___ret_30./lh_dwst_stg/unp_haor_jsons/timestamp,gethaortagsraw/socar_lakehouse/gethaortagsraw.append_data.lakehouse_lh_dwst_stg_tag_values_haor/SQL_JOB/sampledatetime,core.DirectionalDataFlow
s3a___ret_30./lh_dwst_stg/unp_haor_jsons/value,gethaortagsraw/socar_lakehouse/gethaortagsraw.append_data.lakehouse_lh_dwst_stg_tag_values_haor/SQL_JOB/hash_field,core.DirectionalDataFlow
s3a___ret_30./lh_dwst_stg/unp_haor_jsons/value,gethaortagsraw/socar_lakehouse/gethaortagsraw.append_data.lakehouse_lh_dwst_stg_tag_values_haor/SQL_JOB/value,core.DirectionalDataFlow
