"core.externalId","core.name","core.description","custom.sap.hana.calcscript.v3.keyAttribute","custom.sap.hana.calcscript.v3.columnExpression","custom.sap.hana.calcscript.v3.columnDataType"
"HanaCalcView::TI_VENDOR_5Y/RBUKRS","RBUKRS","Field RBUKRS for view TI_VENDOR_5Y","true","",""
"HanaCalcView::TI_VENDOR_5Y/RBUSA","RBUSA","Field RBUSA for view TI_VENDOR_5Y","true","",""
"HanaCalcView::TI_VENDOR_5Y/RYEAR","RYEAR","Field RYEAR for view TI_VENDOR_5Y","true","",""
"HanaCalcView::TI_VENDOR_5Y/DOCNR","DOCNR","Field DOCNR for view TI_VENDOR_5Y","true","",""
"HanaCalcView::TI_VENDOR_5Y/RACCT","RACCT","Field RACCT for view TI_VENDOR_5Y","true","",""
"HanaCalcView::TI_VENDOR_5Y/POPER","POPER","Field POPER for view TI_VENDOR_5Y","true","",""
"HanaCalcView::TI_VENDOR_5Y/BUDAT","BUDAT","Field BUDAT for view TI_VENDOR_5Y","true","",""
"HanaCalcView::TI_VENDOR_5Y/LIFNR","LIFNR","Field LIFNR for view TI_VENDOR_5Y","true","",""
"HanaCalcView::TI_VENDOR_5Y/KUNNR","KUNNR","Field KUNNR for view TI_VENDOR_5Y","true","",""
"HanaCalcView::TI_VENDOR_5Y/RTCUR","RTCUR","Field RTCUR for view TI_VENDOR_5Y","true","",""
"HanaCalcView::TI_VENDOR_5Y/RWCUR","RWCUR","Field RWCUR for view TI_VENDOR_5Y","true","",""
"HanaCalcView::TI_VENDOR_5Y/ZUONR","ZUONR","Field ZUONR for view TI_VENDOR_5Y","true","",""
"HanaCalcView::TI_VENDOR_5Y/PAYMENT_ORDER","PAYMENT_ORDER","Field PAYMENT_ORDER for view TI_VENDOR_5Y","true","",""
"HanaCalcView::TI_VENDOR_5Y/SGTXT","SGTXT","Field SGTXT for view TI_VENDOR_5Y","true","",""
"HanaCalcView::TI_VENDOR_5Y/DAY","DAY","Field DAY for view TI_VENDOR_5Y","true","",""
"HanaCalcView::TI_VENDOR_5Y/WEEKDAY","WEEKDAY","Field WEEKDAY for view TI_VENDOR_5Y","true","",""
"HanaCalcView::TI_VENDOR_5Y/DAYNAME","DAYNAME","Field DAYNAME for view TI_VENDOR_5Y","true","",""
"HanaCalcView::TI_VENDOR_5Y/SIXDAYGROUP","SIXDAYGROUP","Field SIXDAYGROUP for view TI_VENDOR_5Y","true","",""
"HanaCalcView::TI_VENDOR_5Y/WEEKOFMONTH","WEEKOFMONTH","Field WEEKOFMONTH for view TI_VENDOR_5Y","true","",""
"HanaCalcView::TI_VENDOR_5Y/CUSTOMER_NAME","CUSTOMER_NAME","Field CUSTOMER_NAME for view TI_VENDOR_5Y","true","",""
"HanaCalcView::TI_VENDOR_5Y/VENDOR_NAME","VENDOR_NAME","Field VENDOR_NAME for view TI_VENDOR_5Y","true","",""
"HanaCalcView::TI_VENDOR_5Y/TRANSACTION_TYPE","TRANSACTION_TYPE","Field TRANSACTION_TYPE for view TI_VENDOR_5Y","true","",""
"HanaCalcView::TI_VENDOR_5Y/WSL","WSL","Field WSL for view TI_VENDOR_5Y","false","",""
"HanaCalcView::TI_VENDOR_5Y/TSL","TSL","Field TSL for view TI_VENDOR_5Y","false","",""
"HanaCalcView::TI_VENDOR_5Y/HSL","HSL","Field HSL for view TI_VENDOR_5Y","false","",""
