"Source","Target","Association"
"Test_SOCAR_CalculatioView","HanaCalcView/TI_VENDOR_5Y","core.ResourceParentChild"
"HanaCalcView/TI_VENDOR_5Y","HanaCalcView/TI_VENDOR_5Y/RBUKRS","custom.sap.hana.calcscript.v3.HanaCalcViewToHanaCalcViewField"
"HanaCalcView/TI_VENDOR_5Y","HanaCalcView/TI_VENDOR_5Y/RBUSA","custom.sap.hana.calcscript.v3.HanaCalcViewToHanaCalcViewField"
"HanaCalcView/TI_VENDOR_5Y","HanaCalcView/TI_VENDOR_5Y/RYEAR","custom.sap.hana.calcscript.v3.HanaCalcViewToHanaCalcViewField"
"HanaCalcView/TI_VENDOR_5Y","HanaCalcView/TI_VENDOR_5Y/DOCNR","custom.sap.hana.calcscript.v3.HanaCalcViewToHanaCalcViewField"
"HanaCalcView/TI_VENDOR_5Y","HanaCalcView/TI_VENDOR_5Y/RACCT","custom.sap.hana.calcscript.v3.HanaCalcViewToHanaCalcViewField"
"HanaCalcView/TI_VENDOR_5Y","HanaCalcView/TI_VENDOR_5Y/POPER","custom.sap.hana.calcscript.v3.HanaCalcViewToHanaCalcViewField"
"HanaCalcView/TI_VENDOR_5Y","HanaCalcView/TI_VENDOR_5Y/BUDAT","custom.sap.hana.calcscript.v3.HanaCalcViewToHanaCalcViewField"
"HanaCalcView/TI_VENDOR_5Y","HanaCalcView/TI_VENDOR_5Y/LIFNR","custom.sap.hana.calcscript.v3.HanaCalcViewToHanaCalcViewField"
"HanaCalcView/TI_VENDOR_5Y","HanaCalcView/TI_VENDOR_5Y/KUNNR","custom.sap.hana.calcscript.v3.HanaCalcViewToHanaCalcViewField"
"HanaCalcView/TI_VENDOR_5Y","HanaCalcView/TI_VENDOR_5Y/RTCUR","custom.sap.hana.calcscript.v3.HanaCalcViewToHanaCalcViewField"
"HanaCalcView/TI_VENDOR_5Y","HanaCalcView/TI_VENDOR_5Y/RWCUR","custom.sap.hana.calcscript.v3.HanaCalcViewToHanaCalcViewField"
"HanaCalcView/TI_VENDOR_5Y","HanaCalcView/TI_VENDOR_5Y/ZUONR","custom.sap.hana.calcscript.v3.HanaCalcViewToHanaCalcViewField"
"HanaCalcView/TI_VENDOR_5Y","HanaCalcView/TI_VENDOR_5Y/PAYMENT_ORDER","custom.sap.hana.calcscript.v3.HanaCalcViewToHanaCalcViewField"
"HanaCalcView/TI_VENDOR_5Y","HanaCalcView/TI_VENDOR_5Y/SGTXT","custom.sap.hana.calcscript.v3.HanaCalcViewToHanaCalcViewField"
"HanaCalcView/TI_VENDOR_5Y","HanaCalcView/TI_VENDOR_5Y/DAY","custom.sap.hana.calcscript.v3.HanaCalcViewToHanaCalcViewField"
"HanaCalcView/TI_VENDOR_5Y","HanaCalcView/TI_VENDOR_5Y/WEEKDAY","custom.sap.hana.calcscript.v3.HanaCalcViewToHanaCalcViewField"
"HanaCalcView/TI_VENDOR_5Y","HanaCalcView/TI_VENDOR_5Y/DAYNAME","custom.sap.hana.calcscript.v3.HanaCalcViewToHanaCalcViewField"
"HanaCalcView/TI_VENDOR_5Y","HanaCalcView/TI_VENDOR_5Y/SIXDAYGROUP","custom.sap.hana.calcscript.v3.HanaCalcViewToHanaCalcViewField"
"HanaCalcView/TI_VENDOR_5Y","HanaCalcView/TI_VENDOR_5Y/WEEKOFMONTH","custom.sap.hana.calcscript.v3.HanaCalcViewToHanaCalcViewField"
"HanaCalcView/TI_VENDOR_5Y","HanaCalcView/TI_VENDOR_5Y/CUSTOMER_NAME","custom.sap.hana.calcscript.v3.HanaCalcViewToHanaCalcViewField"
"HanaCalcView/TI_VENDOR_5Y","HanaCalcView/TI_VENDOR_5Y/VENDOR_NAME","custom.sap.hana.calcscript.v3.HanaCalcViewToHanaCalcViewField"
"HanaCalcView/TI_VENDOR_5Y","HanaCalcView/TI_VENDOR_5Y/TRANSACTION_TYPE","custom.sap.hana.calcscript.v3.HanaCalcViewToHanaCalcViewField"
"HanaCalcView/TI_VENDOR_5Y","HanaCalcView/TI_VENDOR_5Y/WSL","custom.sap.hana.calcscript.v3.HanaCalcViewToHanaCalcViewField"
"HanaCalcView/TI_VENDOR_5Y","HanaCalcView/TI_VENDOR_5Y/TSL","custom.sap.hana.calcscript.v3.HanaCalcViewToHanaCalcViewField"
"HanaCalcView/TI_VENDOR_5Y","HanaCalcView/TI_VENDOR_5Y/HSL","custom.sap.hana.calcscript.v3.HanaCalcViewToHanaCalcViewField"
"HanaCalcView/TI_VENDOR_5Y","HanaCalcView/TI_VENDOR_5Y/Script_View","custom.sap.hana.calcscript.v3.HanaCalcViewToHanaScriptBlock"
"HanaCalcView/TI_VENDOR_5Y/Script_View","HanaCalcView/TI_VENDOR_5Y","custom.sap.hana.calcscript.v3.HanaScriptBlockToHanaCalcView"
